"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
1,1,1,2,5,1,1,2,5,1,2,5,2,5,8,1,2,5,2,5,8,2,5,8,8,2,5,8,8,8,8
1,1,1,2,6,1,1,2,6,1,2,6,2,6,9,1,2,6,2,6,9,2,6,9,9,2,6,9,9,9,9
1,1,1,2,7,1,1,2,7,1,2,7,2,7,10,1,2,7,2,7,10,2,7,10,10,2,7,10,10,10,10
1,1,1,3,5,1,1,3,5,1,3,5,3,5,11,1,3,5,3,5,11,3,5,11,11,3,5,11,11,11,11
1,1,1,3,6,1,1,3,6,1,3,6,3,6,12,1,3,6,3,6,12,3,6,12,12,3,6,12,12,12,12
1,1,1,3,7,1,1,3,7,1,3,7,3,7,13,1,3,7,3,7,13,3,7,13,13,3,7,13,13,13,13
1,1,1,4,5,1,1,4,5,1,4,5,4,5,14,1,4,5,4,5,14,4,5,14,14,4,5,14,14,14,14
1,1,1,4,6,1,1,4,6,1,4,6,4,6,15,1,4,6,4,6,15,4,6,15,15,4,6,15,15,15,15
1,1,1,4,7,1,1,4,7,1,4,7,4,7,16,1,4,7,4,7,16,4,7,16,16,4,7,16,16,16,16
1,1,17,2,5,1,1,2,5,1,2,5,18,21,8,1,2,5,2,5,8,2,5,8,24,2,5,8,8,8,8
1,1,17,2,6,1,1,2,6,1,2,6,18,22,9,1,2,6,2,6,9,2,6,9,25,2,6,9,9,9,9
1,1,17,2,7,1,1,2,7,1,2,7,18,23,10,1,2,7,2,7,10,2,7,10,26,2,7,10,10,10,10
1,1,17,3,5,1,1,3,5,1,3,5,19,21,11,1,3,5,3,5,11,3,5,11,27,3,5,11,11,11,11
1,1,17,3,6,1,1,3,6,1,3,6,19,22,12,1,3,6,3,6,12,3,6,12,28,3,6,12,12,12,12
1,1,17,3,7,1,1,3,7,1,3,7,19,23,13,1,3,7,3,7,13,3,7,13,29,3,7,13,13,13,13
1,1,17,4,5,1,1,4,5,1,4,5,20,21,14,1,4,5,4,5,14,4,5,14,30,4,5,14,14,14,14
1,1,17,4,6,1,1,4,6,1,4,6,20,22,15,1,4,6,4,6,15,4,6,15,31,4,6,15,15,15,15
1,1,17,4,7,1,1,4,7,1,4,7,20,23,16,1,4,7,4,7,16,4,7,16,32,4,7,16,16,16,16
1,1,33,2,5,1,1,2,5,1,2,5,34,37,8,1,2,5,2,5,8,2,5,8,40,2,5,8,8,8,8
1,1,33,2,6,1,1,2,6,1,2,6,34,38,9,1,2,6,2,6,9,2,6,9,41,2,6,9,9,9,9
1,1,33,2,7,1,1,2,7,1,2,7,34,39,10,1,2,7,2,7,10,2,7,10,42,2,7,10,10,10,10
1,1,33,3,5,1,1,3,5,1,3,5,35,37,11,1,3,5,3,5,11,3,5,11,43,3,5,11,11,11,11
1,1,33,3,6,1,1,3,6,1,3,6,35,38,12,1,3,6,3,6,12,3,6,12,44,3,6,12,12,12,12
1,1,33,3,7,1,1,3,7,1,3,7,35,39,13,1,3,7,3,7,13,3,7,13,45,3,7,13,13,13,13
1,1,33,4,5,1,1,4,5,1,4,5,36,37,14,1,4,5,4,5,14,4,5,14,46,4,5,14,14,14,14
1,1,33,4,6,1,1,4,6,1,4,6,36,38,15,1,4,6,4,6,15,4,6,15,47,4,6,15,15,15,15
1,1,33,4,7,1,1,4,7,1,4,7,36,39,16,1,4,7,4,7,16,4,7,16,48,4,7,16,16,16,16
1,17,1,2,5,1,1,2,5,17,18,21,2,5,8,1,2,5,2,5,8,18,21,24,8,2,5,8,8,24,8
1,17,1,2,6,1,1,2,6,17,18,22,2,6,9,1,2,6,2,6,9,18,22,25,9,2,6,9,9,25,9
