combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
FOX3CPR2STR1FUS3DOX3,1,1,1,1,0.78966,1,1,0.62331,0.47581,1,1,1,0.98751,0.91777,0.73202,1,1,1,0.76373,0.47519,0.85905,0.40573,0.22781,0.8708,0.71618,1,1,0.87914,0.92156,1,0.70892,NaN,NaN,-0.37669,-0.39745,NaN,NaN,NaN,NaN,NaN,-0.072986,0,0,Inf,-0.23627,-0.39823,Inf,-0.59427,-0.7115,Inf,-0.093042,0,3392965600107088,1.4921,12.2397,-0.21316,2.0793,-0.58914,-0.79806,-0.075943,-0.1577,0,Inf,Inf,Inf,Inf,2.8862,6.9985,-0.42536,0.40702,2.0503,-0.10224,-0.75841
FOX3CPR2STR2FUS1DOX1,1,1,1,0.72898,1,1,1,0.87557,1,1,1,1,0.94134,1,0.70508,1,1,1,0.29387,0.96074,0.61098,1,0.43588,1,0.92349,0.88065,1,0.71319,0.90491,0.43855,0.91551,NaN,NaN,Inf,NaN,NaN,NaN,NaN,NaN,NaN,-0.032785,0,Inf,0,-0.59687,-0.03926,-0.16187,Inf,-0.56412,Inf,Inf,0,-0.12785,0,-0.72988,-0.03926,-0.28261,-0.17517,-0.56412,0.088183,0.028482,Inf,0,-0.021662,Inf,-0.3984,7.6726,15.3689,-0.060738,3.1278,-0.26271,Inf,-0.2667
FOX3CPR2STR2FUS1DOX2,1,1,1,0.72898,1,1,1,0.87557,0.62681,1,1,1,0.94134,1,0.73661,1,1,1,0.29387,0.4136,0.47632,1,0.3011,0.85657,0.62402,0.88065,1,1,0.18001,0.10024,0.92407,NaN,NaN,Inf,-0.37319,NaN,NaN,NaN,NaN,NaN,Inf,0,Inf,0,-0.59687,-0.5864,-0.34659,Inf,-0.6989,Inf,-0.14398,0,-0.12785,Inf,-0.72988,-0.34016,-0.22063,-0.17517,-0.6989,-0.14992,-0.34243,Inf,0,Inf,-0.75306,-0.86249,7.6726,4.278,2.3183,0.88126,0.3958,Inf,-0.33893
FOX3CPR2STR2FUS1DOX3,1,1,1,0.72898,0.78966,1,1,0.87557,0.47581,1,1,1,0.94134,1,0.81783,1,1,1,0.29387,0.34229,1,1,0.36728,0.71262,0.99492,0.88065,1,1,0.9783,0.057756,0.93406,NaN,NaN,Inf,-0.39745,NaN,NaN,NaN,NaN,NaN,1.5795,0,Inf,Inf,-0.59687,-0.56654,2.7675,Inf,-0.53489,0.89331,2.7344,0,-0.12785,1.4921,-0.72988,-0.50115,0.82468,-0.17517,-0.69655,-0.39873,-0.12639,Inf,Inf,2.7675,2.626,-0.89967,7.6726,3.0626,0.076493,22.6834,-0.72381,2.3375,-0.15829
FOX3CPR2STR2FUS2DOX1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.56417,1,1,1,0.67392,0.96074,0.93329,1,0.43588,0.57143,0.87086,1,1,1,0.98349,0.47941,0.9056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.43583,0,0,0,-0.32608,-0.03926,-0.066711,0,-0.56412,-0.42857,-0.12914,0,0,0,-0.32608,-0.03926,3324701627626793,0,-0.56412,65387602661645,2762374129320059,0,0,0,-0.016512,-0.52059,734262734755688,15.3689,0.15796,0.35061,1.3572,-0.094397,-0.42718
FOX3CPR2STR2FUS2DOX2,1,1,1,1,1,1,1,1,0.62681,1,1,1,1,1,0.5095,1,1,1,0.67392,0.4136,0.84291,1,0.3011,0.64615,0.82437,1,1,1,0.027787,0.5927,0.974,NaN,NaN,NaN,-0.37319,NaN,NaN,NaN,NaN,NaN,-0.4905,0,0,0,-0.32608,-0.5864,-0.15709,0,-0.6989,-0.35385,-0.17563,0,0,Inf,-0.32608,-0.34016,1.8934,0,-0.6989,1230782047112877,2836089413713151,0,0,0,-0.97221,-0.4073,734262734755688,4.278,-0.26076,-0.95507,8.4797,-0.025997,-0.076556
FOX3CPR2STR2FUS2DOX3,1,1,1,1,0.78966,1,1,1,0.47581,1,1,1,1,1,1,1,1,1,0.67392,0.34229,1,1,0.36728,0.85345,1,1,1,1,0.72559,0.4478,0.97015,NaN,NaN,NaN,-0.39745,NaN,NaN,NaN,NaN,NaN,NaN,0,0,Inf,-0.32608,-0.56654,Inf,0,-0.53489,Inf,Inf,0,0,1.4921,-0.32608,-0.50115,1.4921,0,-0.69655,-0.29487,-0.17379,0,Inf,Inf,-0.081133,-0.43291,734262734755688,3.0626,-0.14332,5.8009,1.2256,Inf,-0.34689
FOX3CPR2STR2FUS3DOX1,1,1,1,1,1,1,1,0.62331,1,1,1,1,1,1,0.63845,1,1,1,0.96257,0.96074,1,0.6831,0.43588,1,0.98168,1,1,1,0.92238,0.85576,0.73756,NaN,NaN,-0.37669,NaN,NaN,NaN,NaN,NaN,NaN,-0.36155,0,0,0,-0.037428,-0.03926,0,-0.3169,-0.56412,0,-0.018316,0,3392965600107088,0,3055840146303453,-0.03926,2.0419,-0.3169,-0.56412,3256508542705356,3091535359896578,0,0,0,-0.07762,-0.14424,-0.021874,15.3689,-0.42471,-0.43868,14.9493,-0.26244,-0.39959
FOX3CPR2STR2FUS3DOX2,1,1,1,1,1,1,1,0.62331,0.62681,1,1,1,1,1,0.65158,1,1,1,0.96257,0.4136,1,0.6831,0.3011,1,0.53507,1,1,0.78826,0.94448,1,0.66528,NaN,NaN,-0.37669,-0.37319,NaN,NaN,NaN,NaN,NaN,-0.34842,0,0,0,-0.037428,-0.5864,0,-0.3169,-0.6989,0,-0.46493,0,3392965600107088,Inf,3055840146303453,-0.34016,1.522,-0.3169,-0.6989,1569155944219576,-0.1788,0,0,-0.21174,-0.055522,0,-0.021874,4.278,-0.62434,-0.064457,2.6126,-0.33472,-0.68627
FOX3CPR2STR2FUS3DOX3,1,1,1,1,0.78966,1,1,0.62331,0.47581,1,1,1,1,1,0.73202,1,1,1,0.96257,0.34229,0.85905,0.6831,0.36728,0.8708,1,1,1,0.87914,1,1,0.71004,NaN,NaN,-0.37669,-0.39745,NaN,NaN,NaN,NaN,NaN,-0.072986,0,0,Inf,-0.037428,-0.56654,Inf,-0.3169,-0.53489,Inf,Inf,0,3392965600107088,1.4921,3055840146303453,-0.50115,2.0793,-0.3169,-0.69655,-0.075943,0.274,0,Inf,Inf,Inf,Inf,-0.021874,3.0626,-0.42536,0.044749,2.9661,-0.10083,-0.70512
